1;а;а;CCONJ;_;_;3;cc;_;@db1996m-words#@db1996m#428.11#428.474
2;в;в;ADP;_;_;3;case;_;@db1996m-words#@db1996m#428.474#428.838
3;чём;что;PRON;_;Case=Loc;15;obl;_;@db1996m-words#@db1996m#428.838#429.202
4;/;/;PUNCT;_;_;5;punct;_;@db1996m-words#@db1996m#429.202#429.566
5;по-твоему;по-твоему;ADV;_;Degree=Pos;3;parataxis;_;@db1996m-words#@db1996m#429.566#429.93
6;/;/;PUNCT;_;_;5;punct;_;@db1996m-words#@db1996m#429.93#430.294
7;суть;суть;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;3;nsubj;_;@db1996m-words#@db1996m#430.294#430.658
8;феминизма;феминизм;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;7;nmod;_;@db1996m-words#@db1996m#430.658#431.022
9;?;?;PUNCT;_;_;3;punct;_;@db1996m-words#@db1996m#431.022#431.39
10;в;в;ADP;_;_;11;case;_;@db1996m-words#@db1996m#508.89#509.18
11;одном;один;NUM;_;Case=Loc|Gender=Neut;3;nummod;_;@db1996m-words#@db1996m#509.18#509.47
12;из;из;ADP;_;_;13;case;_;@db1996m-words#@db1996m#509.47#509.76
13;интервью;интервью;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur;11;nmod;_;@db1996m-words#@db1996m#509.76#510.05
14;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;15;nsubj;_;@db1996m-words#@db1996m#510.05#510.34
15;говорил;говорить;VERB;_;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;22;parataxis;_;@db1996m-words#@db1996m#510.34#510.63
16;что;что;PRON;_;Case=Acc;15;obj;_;@db1996m-words#@db1996m#510.63#510.92
17;/;/;PUNCT;_;_;19;punct;_;@db1996m-words#@db1996m#510.92#511.21
18;твоя;твой;DET;_;Case=Nom|Gender=Fem|Number=Sing;19;det;_;@db1996m-words#@db1996m#511.21#511.5
19;мм;миллиметр;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;16;conj;_;@db1996m-words#@db1996m#511.5#511.79
20;мама;мама;NOUN;_;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;22;nsubj;_;@db1996m-words#@db1996m#511.79#512.08
21;очень;очень;ADV;_;Degree=Pos;22;advmod;_;@db1996m-words#@db1996m#512.08#512.37
22;интересуется;интересоваться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;0;root;_;@db1996m-words#@db1996m#512.37#512.66
23;частенько;частенько;ADV;_;Degree=Pos;26;obl;_;@db1996m-words#@db1996m#512.66#512.95
24;ээ;ээ;X;_;Foreign=Yes;23;flat:foreign;_;@db1996m-words#@db1996m#512.95#513.24
25;/;/;PUNCT;_;_;24;punct;_;@db1996m-words#@db1996m#513.24#513.53
26;вопросом;вопрос;NOUN;_;Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing;22;obl;_;@db1996m-words#@db1996m#513.53#513.82
27;твоих;твой;DET;_;Case=Gen|Number=Plur;28;det;_;@db1996m-words#@db1996m#513.82#514.11
28;доходов;доход;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;26;nmod;_;@db1996m-words#@db1996m#514.11#514.4
29;/;/;PUNCT;_;_;30;punct;_;@db1996m-words#@db1996m#514.4#514.69
30;стоит;стоить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;22;csubj;_;@db1996m-words#@db1996m#514.69#514.98
31;ли;ли;PART;_;_;30;advmod;_;@db1996m-words#@db1996m#514.98#515.27
32;действительно;действительно;ADV;_;Degree=Pos;33;obl;_;@db1996m-words#@db1996m#515.27#515.56
33;этот;этот;DET;_;Case=Acc|Gender=Masc|Number=Sing;34;det;_;@db1996m-words#@db1996m#515.56#515.85
34;вопрос;вопрос;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;30;obj;_;@db1996m-words#@db1996m#515.85#516.14
35;остро;остро;ADV;_;Degree=Pos;30;nsubj;_;@db1996m-words#@db1996m#516.14#516.43
36;для;для;ADP;_;_;37;case;_;@db1996m-words#@db1996m#516.43#516.72
37;тебя;ты;PRON;_;Case=Acc|Number=Sing|Person=2;30;obl;_;@db1996m-words#@db1996m#516.72#517.01
38;как;как;SCONJ;_;_;40;mark;_;@db1996m-words#@db1996m#517.01#517.3
39;для;для;ADP;_;_;40;case;_;@db1996m-words#@db1996m#517.3#517.59
40;комика;комика;NOUN;_;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;37;acl;_;@db1996m-words#@db1996m#517.59#517.88
41;?;?;PUNCT;_;_;30;punct;_;@db1996m-words#@db1996m#517.88#518.186
42;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;45;nsubj;_;@db1996m-words#@db1996m#521.14#521.511
43;/;/;PUNCT;_;_;42;punct;_;@db1996m-words#@db1996m#521.511#521.882
44;виктору;виктор;ADV;_;Degree=Pos;45;obl;_;@db1996m-words#@db1996m#521.882#522.253
45;копанице;копаница;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;30;nsubj;_;@db1996m-words#@db1996m#522.253#522.624
46;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;100;cop;_;@db1996m-words#@db1996m#522.624#522.995
47;/;/;PUNCT;_;_;49;punct;_;@db1996m-words#@db1996m#522.995#523.366
48;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;49;nsubj;_;@db1996m-words#@db1996m#523.366#523.737
49;сказал;сказать;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;46;parataxis;_;@db1996m-words#@db1996m#523.737#524.11
50;в;в;ADP;_;_;51;case;_;@db1996m-words#@db1996m#559.957#560.262
51;плюсе;плюс;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;49;obl;_;@db1996m-words#@db1996m#560.262#560.567
52;тогда;тогда;ADV;_;Degree=Pos;49;advmod;_;@db1996m-words#@db1996m#711.788#712.038
53;так;так;ADV;_;Degree=Pos;49;advmod;_;@db1996m-words#@db1996m#712.038#712.288
54;/;/;PUNCT;_;_;56;punct;_;@db1996m-words#@db1996m#712.288#712.538
55;а;а;CCONJ;_;_;56;cc;_;@db1996m-words#@db1996m#712.538#712.788
56;можешь;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;49;conj;_;@db1996m-words#@db1996m#712.788#713.038
57;ли;ли;PART;_;_;56;advmod;_;@db1996m-words#@db1996m#713.038#713.288
58;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;56;nsubj;_;@db1996m-words#@db1996m#713.288#713.538
59;назвать;назвать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;56;xcomp;_;@db1996m-words#@db1996m#713.538#713.788
60;себя;себя;PRON;_;Case=Acc;59;obj;_;@db1996m-words#@db1996m#713.788#714.038
61;семейным;семейный;ADJ;_;Case=Ins|Degree=Pos|Gender=Masc|Number=Sing;62;amod;_;@db1996m-words#@db1996m#714.038#714.288
62;человеком;человек;NOUN;_;Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing;59;obl;_;@db1996m-words#@db1996m#714.288#714.538
63;/;/;PUNCT;_;_;56;punct;_;@db1996m-words#@db1996m#714.538#714.788
64;в;в;ADP;_;_;65;case;_;@db1996m-words#@db1996m#714.788#715.038
65;плане;план;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;56;obl;_;@db1996m-words#@db1996m#715.038#715.288
66;вот;вот;PART;_;_;67;advmod;_;@db1996m-words#@db1996m#715.288#715.538
67;там;там;ADV;_;Degree=Pos;56;advmod;_;@db1996m-words#@db1996m#715.538#715.788
68;готовности;готовность;NOUN;_;Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing;56;iobj;_;@db1996m-words#@db1996m#715.788#716.038
69;какой-то;какой-то;DET;_;Case=Dat|Gender=Fem|Number=Sing;72;det;_;@db1996m-words#@db1996m#716.038#716.288
70;к;к;ADP;_;_;72;case;_;@db1996m-words#@db1996m#716.288#716.538
71;совместному;совместный;ADJ;_;Case=Dat|Degree=Pos|Gender=Masc|Number=Sing;72;amod;_;@db1996m-words#@db1996m#716.538#716.788
72;быту;быт;NOUN;_;Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing;56;obl;_;@db1996m-words#@db1996m#716.788#717.038
73;/;/;PUNCT;_;_;72;punct;_;@db1996m-words#@db1996m#717.038#717.288
74;к;к;ADP;_;_;75;case;_;@db1996m-words#@db1996m#717.288#717.538
75;построению;построение;NOUN;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;72;nmod;_;@db1996m-words#@db1996m#717.538#717.788
76;семьи;семья;NOUN;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;75;nmod;_;@db1996m-words#@db1996m#717.788#718.038
77;возможно;возможный;ADJ;_;Degree=Pos|Gender=Neut|Number=Sing|Variant=Short;79;parataxis;_;@db1996m-words#@db1996m#718.038#718.288
78;/;/;PUNCT;_;_;77;punct;_;@db1996m-words#@db1996m#718.288#718.538
79;ээ;ээ;INTJ;_;_;75;parataxis;_;@db1996m-words#@db1996m#718.538#718.788
80;к;к;ADP;_;_;81;case;_;@db1996m-words#@db1996m#718.788#719.038
81;тому;то;PRON;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;79;obl;_;@db1996m-words#@db1996m#719.038#719.288
82;чтобы;чтобы;SCONJ;_;Mood=Cnd;83;mark;_;@db1996m-words#@db1996m#719.288#719.538
83;завести;завести;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;81;advcl;_;@db1996m-words#@db1996m#719.538#719.788
84;ребёнка;ребенок;NOUN;_;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;83;obl;_;@db1996m-words#@db1996m#719.788#720.038
85;и;и;CCONJ;_;_;93;cc;_;@db1996m-words#@db1996m#720.038#720.288
86;так;так;ADV;_;Degree=Pos;85;fixed;_;@db1996m-words#@db1996m#720.288#720.538
87;далее;далее;ADV;_;Degree=Pos;85;fixed;_;@db1996m-words#@db1996m#720.538#720.788
88;?;?;PUNCT;_;_;93;punct;_;@db1996m-words#@db1996m#720.788#721.073
89;вообще;вообще;ADV;_;Degree=Pos;91;advmod;_;@ad1994m-words#@ad1994m#431.78#432.113
90;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;91;nsubj;_;@ad1994m-words#@ad1994m#432.113#432.446
91;думаю;думать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;93;parataxis;_;@ad1994m-words#@ad1994m#432.446#432.779
92;что;что;SCONJ;_;_;91;advmod;_;@ad1994m-words#@ad1994m#432.779#433.112
93;нужно;нужный;ADJ;_;Degree=Pos|Gender=Neut|Number=Sing|Variant=Short;84;conj;_;@ad1994m-words#@ad1994m#433.112#433.445
94;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;93;nsubj;_;@ad1994m-words#@ad1994m#433.445#433.778
95;спрашивать;спрашивать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;93;xcomp;_;@ad1994m-words#@ad1994m#433.778#434.111
96;у;у;ADP;_;_;98;case;_;@ad1994m-words#@ad1994m#434.111#434.444
97;/;/;PUNCT;_;_;96;punct;_;@ad1994m-words#@ad1994m#434.444#434.777
98;женщин;женщина;NOUN;_;Animacy=Anim|Case=Acc|Gender=Fem|Number=Plur;95;obl;_;@ad1994m-words#@ad1994m#434.777#435.11
99;которые;который;PRON;_;Case=Nom;100;nsubj;_;@ad1994m-words#@ad1994m#435.11#435.443
100;являются;являться;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;45;acl:relcl;_;@ad1994m-words#@ad1994m#435.443#435.776
101;феминистками;феминистка;NOUN;_;Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur;100;obl;_;@ad1994m-words#@ad1994m#435.776#436.109
102;/;/;PUNCT;_;_;105;punct;_;@ad1994m-words#@ad1994m#436.109#436.442
103;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;105;nsubj;_;@ad1994m-words#@ad1994m#436.442#436.775
104;лишь;лишь;PART;_;_;105;advmod;_;@ad1994m-words#@ad1994m#436.775#437.108
105;могу;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;95;conj;_;@ad1994m-words#@ad1994m#437.108#437.441
106;сказать;сказать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;105;xcomp;_;@ad1994m-words#@ad1994m#437.441#437.774
107;свои;свой;DET;_;Case=Acc|Number=Plur;108;det;_;@ad1994m-words#@ad1994m#437.774#438.107
108;предположения;предположение;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur;111;obj;_;@ad1994m-words#@ad1994m#438.107#438.44
109;на;на;ADP;_;_;110;case;_;@ad1994m-words#@ad1994m#438.44#438.773
110;этот;этот;DET;_;Case=Acc|Gender=Masc|Number=Sing;111;det;_;@ad1994m-words#@ad1994m#438.773#439.106
111;счёт;счет;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;106;xcomp;_;@ad1994m-words#@ad1994m#439.106#439.439
112;/;/;PUNCT;_;_;120;punct;_;@ad1994m-words#@ad1994m#439.439#439.772
113;потому;потому;ADV;_;Degree=Pos;120;mark;_;@ad1994m-words#@ad1994m#439.772#440.105
114;что;что;SCONJ;_;_;113;fixed;_;@ad1994m-words#@ad1994m#440.105#440.438
115;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;120;nsubj:pass;_;@ad1994m-words#@ad1994m#440.438#440.771
116;/;/;PUNCT;_;_;115;punct;_;@ad1994m-words#@ad1994m#440.771#441.104
117;ну;ну;PART;_;_;120;parataxis;_;@ad1994m-words#@ad1994m#441.104#441.437
118;/;/;PUNCT;_;_;117;punct;_;@ad1994m-words#@ad1994m#441.437#441.77
119;не;не;PART;_;_;120;advmod;_;@ad1994m-words#@ad1994m#441.77#442.103
120;связан;связать;VERB;_;Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;111;advcl;_;@ad1994m-words#@ad1994m#442.103#442.436
121;#смех#;#смех#;NOUN;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;120;obl;_;@ad1994m-words#@ad1994m#442.436#442.769
122;с;с;ADP;_;_;123;case;_;@ad1994m-words#@ad1994m#442.769#443.102
123;феминизмом;феминизм;NOUN;_;Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing;121;nmod;_;@ad1994m-words#@ad1994m#443.102#443.435
124;и;и;CCONJ;_;_;125;cc;_;@ad1994m-words#@ad1994m#443.435#443.768
125;мне...;мне...;PROPN;_;Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing;123;conj;_;@ad1994m-words#@ad1994m#443.768#444.101
126;/;/;PUNCT;_;_;129;punct;_;@ad1994m-words#@ad1994m#444.101#444.434
127;никак;никак;ADV;_;Degree=Pos;129;advmod;_;@ad1994m-words#@ad1994m#444.434#444.767
128;не;не;PART;_;_;129;advmod;_;@ad1994m-words#@ad1994m#444.767#445.1
129;связан;связать;VERB;_;Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;120;conj;_;@ad1994m-words#@ad1994m#445.1#445.433
130;с;с;ADP;_;_;131;case;_;@ad1994m-words#@ad1994m#445.433#445.766
131;борьбой;борьба;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing;141;obl;_;@ad1994m-words#@ad1994m#445.766#446.099
132;женщин;женщина;NOUN;_;Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur;131;nmod;_;@ad1994m-words#@ad1994m#446.099#446.432
133;за;за;ADP;_;_;135;case;_;@ad1994m-words#@ad1994m#446.432#446.765
134;свои;свой;DET;_;Case=Acc|Number=Plur;135;det;_;@ad1994m-words#@ad1994m#446.765#447.098
135;права;право;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur;131;nmod;_;@ad1994m-words#@ad1994m#447.098#447.431
136;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;141;nsubj;_;@ad1994m-words#@ad1994m#447.431#447.764
137;лишь;лишь;PART;_;_;139;advmod;_;@ad1994m-words#@ad1994m#447.764#448.097
138;/;/;PUNCT;_;_;139;punct;_;@ad1994m-words#@ad1994m#448.097#448.43
139;эээ;эээ;INTJ;_;_;136;parataxis;_;@ad1994m-words#@ad1994m#448.43#448.763
140;/;/;PUNCT;_;_;136;punct;_;@ad1994m-words#@ad1994m#448.763#449.096
141;поддерживаю;поддерживать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;129;advmod;_;@ad1994m-words#@ad1994m#449.096#449.429
142;женщин;женщина;NOUN;_;Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur;144;obl;_;@ad1994m-words#@ad1994m#449.429#449.81
143;не;не;PART;_;_;144;advmod;_;@ad1994m-words#@ad1994m#450.15#450.458
144;понимаю;понимать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;141;conj;_;@ad1994m-words#@ad1994m#450.458#450.766
145;людей;человек;NOUN;_;Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur;144;obj;_;@ad1994m-words#@ad1994m#450.766#451.074
146;которые;который;PRON;_;Case=Acc;147;nsubj;_;@ad1994m-words#@ad1994m#451.074#451.382
147;говорят;говорить;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;154;parataxis;_;@ad1994m-words#@ad1994m#451.382#451.69
148;что;что;PRON;_;Case=Acc;147;obj;_;@ad1994m-words#@ad1994m#451.69#451.998
149;/;/;PUNCT;_;_;151;punct;_;@ad1994m-words#@ad1994m#451.998#452.306
150;у;у;ADP;_;_;151;case;_;@ad1994m-words#@ad1994m#452.306#452.614
151;женщин;женщина;NOUN;_;Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur;148;nmod;_;@ad1994m-words#@ad1994m#452.614#452.922
152;всё;все;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;154;nsubj;_;@ad1994m-words#@ad1994m#452.922#453.23
153;в;в;ADP;_;_;154;case;_;@ad1994m-words#@ad1994m#453.23#453.538
154;порядке;порядок;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;144;obl;_;@ad1994m-words#@ad1994m#453.538#453.846
155;с;с;ADP;_;_;156;case;_;@ad1994m-words#@ad1994m#453.846#454.154
156;правами;право;NOUN;_;Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur;154;nmod;_;@ad1994m-words#@ad1994m#454.154#454.462
157;/;/;PUNCT;_;_;158;punct;_;@ad1994m-words#@ad1994m#454.462#454.77
158;ээ;ээ;INTJ;_;_;163;parataxis;_;@ad1994m-words#@ad1994m#454.77#455.078
159;ну;ну;PART;_;_;163;parataxis;_;@ad1994m-words#@ad1994m#455.078#455.386
160;/;/;PUNCT;_;_;159;punct;_;@ad1994m-words#@ad1994m#455.386#455.694
161;в;в;ADP;_;_;163;case;_;@ad1994m-words#@ad1994m#455.694#456.002
162;нашей;наш;DET;_;Case=Loc|Gender=Fem|Number=Sing;163;det;_;@ad1994m-words#@ad1994m#456.002#456.31
163;стране;страна;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;156;nmod;_;@ad1994m-words#@ad1994m#456.31#456.618
164;/;/;PUNCT;_;_;169;punct;_;@ad1994m-words#@ad1994m#456.618#456.926
165;что;что;SCONJ;_;_;169;mark;_;@ad1994m-words#@ad1994m#456.926#457.234
166;они;они;PRON;_;Case=Nom|Number=Plur|Person=3;169;nsubj;_;@ad1994m-words#@ad1994m#457.234#457.542
167;уже;уже;ADV;_;Degree=Pos;169;advmod;_;@ad1994m-words#@ad1994m#457.542#457.85
168;просто;просто;PART;_;_;169;advmod;_;@ad1994m-words#@ad1994m#457.85#458.158
169;капризничают;капризничать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;156;acl;_;@ad1994m-words#@ad1994m#458.158#458.466
170;/;/;PUNCT;_;_;174;punct;_;@ad1994m-words#@ad1994m#458.466#458.774
171;что;что;SCONJ;_;_;174;mark;_;@ad1994m-words#@ad1994m#458.774#459.082
172;они;они;PRON;_;Case=Nom|Number=Plur|Person=3;174;nsubj;_;@ad1994m-words#@ad1994m#459.082#459.39
173;уже;уже;ADV;_;Degree=Pos;174;advmod;_;@ad1994m-words#@ad1994m#459.39#459.698
174;занимаются;заниматься;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;169;ccomp;_;@ad1994m-words#@ad1994m#459.698#460.006
175;глупостями;глупость;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur;169;obl;_;@ad1994m-words#@ad1994m#460.006#460.314
176;что;что;PRON;_;Case=Acc;186;parataxis;_;@ad1994m-words#@ad1994m#460.314#460.622
177;/;/;PUNCT;_;_;176;punct;_;@ad1994m-words#@ad1994m#460.622#460.93
178;ну;ну;PART;_;_;182;parataxis;_;@ad1994m-words#@ad1994m#460.93#461.238
179;/;/;PUNCT;_;_;178;punct;_;@ad1994m-words#@ad1994m#461.238#461.546
180;куда;куда;ADV;_;Degree=Pos;182;advmod;_;@ad1994m-words#@ad1994m#461.546#461.854
181;уже;уже;ADV;_;Degree=Pos;182;advmod;_;@ad1994m-words#@ad1994m#461.854#462.162
182;можно;можно;ADV;_;Degree=Pos;100;advmod;_;@ad1994m-words#@ad1994m#462.162#462.47
183;дальше;дальше;ADV;_;Degree=Cmp;184;advmod;_;@ad1994m-words#@ad1994m#462.47#462.778
184;прав;право;ADJ;_;Degree=Pos|Gender=Masc|Number=Sing|Variant=Short;186;obl;_;@ad1994m-words#@ad1994m#462.778#463.086
185;им;он;PRON;_;Case=Ins|Gender=Masc|Number=Sing|Person=3;184;obl;_;@ad1994m-words#@ad1994m#463.086#463.394
186;можно;можно;ADV;_;Degree=Pos;174;advmod;_;@ad1994m-words#@ad1994m#463.394#463.702
187;носи...;носи...;PROPN;_;Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing;191;iobj;_;@ad1994m-words#@ad1994m#463.702#464.01
188;/;/;PUNCT;_;_;187;punct;_;@ad1994m-words#@ad1994m#464.01#464.318
189;вам;вы;PRON;_;Case=Dat|Number=Plur|Person=2;191;iobj;_;@ad1994m-words#@ad1994m#464.318#464.626
190;же;же;PART;_;_;189;advmod;_;@ad1994m-words#@ad1994m#464.626#464.934
191;можно;можно;ADV;_;Degree=Pos;186;advmod;_;@ad1994m-words#@ad1994m#464.934#465.242
192;носить;носить;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;191;csubj;_;@ad1994m-words#@ad1994m#465.242#465.55
